0,3,19
0,3,12
0,3,17
0,3,29
0,3,30
0,3,26
0,3,22
0,3,19
0,3,33
0,3,38
0,3,29
0,3,28
0,3,21
0,3,22
0,3,40
0,3,45
0,3,36
0,3,35
0,3,31
0,3,20
0,3,23
0,3,38
0,3,36
0,3,29
0,3,32
0,3,36
0,3,42
0,3,42
0,3,33
0,3,30
0,3,26
0,3,28
0,3,36
0,3,29
0,3,23
0,3,34
0,3,36
0,3,22
0,3,22
0,3,37
0,3,39
0,3,30
0,3,25
0,3,25
0,3,25
0,3,19
0,3,24
0,3,34
0,3,40
0,3,40
0,3,28
0,3,21
0,3,25
0,3,34
0,3,37
0,3,32
0,3,36
0,3,37
0,3,23
0,3,24
0,3,33
0,3,37
0,3,37
0,3,27
0,3,26
0,3,38
0,3,43
0,3,33
0,3,24
0,3,27
0,3,27
0,3,26
0,3,29
0,3,33
0,3,29
0,3,27
0,3,33
0,3,32
0,3,36
0,3,45
0,3,37
0,3,33
0,3,35
0,3,23
0,3,21
0,3,32
0,3,37
0,3,35
0,3,26
0,3,30
0,3,50
0,3,41
0,3,13
0,3,17
0,3,29
0,3,32
0,3,30
0,3,26
0,3,34
0,3,30
0,3,19
0,3,30
0,3,31
0,3,23
0,3,33
0,3,34
0,3,22
0,3,26
0,3,39
0,3,42
0,3,30
0,3,23
0,3,26
0,3,26
0,3,30
0,3,34
0,3,26
0,3,22
0,3,33
0,3,32
0,3,28
0,3,39
0,3,45
0,3,40
0,3,37
0,3,29
0,3,19
0,3,30
0,3,34
0,3,26
0,3,27
0,3,30
0,3,40
0,3,42
0,3,24
0,3,21
0,3,37
0,3,29
0,3,23
0,3,34
0,3,28
0,3,22
0,3,24
0,3,25
0,3,26
0,3,31
0,3,38
0,3,33
0,3,21
0,3,22
0,3,24
0,3,21
0,3,24
0,3,34
0,3,39
0,3,31
0,3,28
0,3,33
0,3,32
0,3,32
0,3,42
0,3,45
0,3,34
0,3,20
0,3,20
0,3,36
0,3,44
0,3,41
0,3,34
0,3,21
0,3,14
0,3,30
0,3,40
0,3,35
0,3,35
0,3,33
0,3,26
0,3,22
0,3,27
0,3,32
0,3,24
0,3,32
0,3,40
0,3,32
0,3,28
0,3,34
0,3,39
0,3,30
0,3,28
0,3,37
0,3,34
0,3,38
0,3,45
0,3,30
0,3,22
0,3,31
0,3,28
0,3,31
0,3,35
0,3,26
0,3,32
0,3,33
0,3,23
0,3,24
0,3,25
0,3,28
0,3,33
0,3,28
0,3,23
0,3,36
0,3,40
0,3,35
0,3,33
0,3,33
0,3,36
0,3,31
0,3,24
0,3,31
0,3,27
0,3,23
0,3,29
0,3,25
0,3,22
0,3,26
0,3,32
0,3,36
0,3,32
0,3,30
0,3,28
0,3,31
0,3,46
0,3,41
0,3,28
0,3,33
0,3,30
0,3,18
0,3,21
0,3,35
0,3,34
0,3,28
0,3,27
0,3,28
0,3,35
0,3,36
0,3,32
0,3,32
0,3,39
0,3,44
0,3,27
0,3,24
0,3,35
0,3,30
0,3,30
0,3,38
0,3,28
0,3,9
0,3,18
0,3,37
0,3,33
0,3,25
0,3,20
0,3,24
0,3,30
0,3,28
0,3,32
0,3,36
0,3,32
0,3,33
0,3,29
0,3,27
0,3,39
0,3,43
0,3,20
0,3,11
0,3,34
0,3,42
0,3,37
0,3,41
0,3,28
0,3,16
0,3,29
0,3,29
0,3,26
0,3,38
0,3,35
0,3,25
0,3,30
0,3,38
0,3,31
0,3,17
0,3,21
0,3,28
0,3,22
0,3,25
0,3,40
0,3,35
0,3,20
0,3,29
0,3,38
0,3,24
0,3,17
0,3,32
0,3,42
0,3,33
0,3,26
0,3,24
0,3,29
0,3,25
0,3,24
0,3,35
0,3,31
0,3,26
0,3,32
0,3,33
0,3,34
0,3,39
0,3,30
0,3,21
0,3,27
0,3,35
0,3,37
0,3,36
0,3,38
0,3,38
0,3,29
0,3,21
0,3,28
0,3,33
0,3,28
0,3,33
0,3,41
0,3,32
0,3,15
0,3,15
0,3,27
0,3,32
0,3,32
0,3,34
0,3,33
0,3,27
0,3,21
0,3,28
0,3,40
0,3,33
0,3,26
0,3,29
0,3,21
0,3,26
0,3,35
0,3,27
0,3,23
0,3,26
0,3,38
0,3,38
0,3,14
0,3,22
0,3,39
0,3,29
0,3,28
0,3,30
0,3,26
0,3,37
0,3,37
0,3,22
0,3,18
0,3,26
0,3,28
0,3,25
0,3,31
0,3,33
0,3,30
0,3,32
0,3,30
0,3,34
0,3,42
0,3,38
0,3,36
0,3,35
0,3,38
0,3,43
0,3,32
0,3,28
0,3,30
0,3,21
0,3,23
0,3,28
0,3,28
0,3,33
0,3,38
0,3,33
0,3,23
0,3,25
0,3,32
0,3,30
0,3,29
0,3,35
0,3,28
0,3,23
0,3,37
0,3,37
0,3,29
0,3,27
0,3,24
0,3,32
0,3,37
0,3,36
0,3,35
0,3,27
0,3,18
0,3,22
0,3,32
0,3,41
0,3,32
0,3,21
0,3,29
0,3,32
0,3,28
0,3,29
0,3,30
0,3,29
0,3,31
0,3,32
0,3,30
0,3,29
0,3,23
0,3,19
0,3,31
0,3,39
0,3,33
0,3,29
0,3,31
0,3,28
0,3,26
0,3,37
0,3,37
0,3,27
0,3,28
0,3,28
0,3,27
0,3,31
0,3,29
0,3,20
0,3,19
0,3,39
0,3,48
0,3,27
0,3,20
0,3,34
0,3,33
0,3,23
0,3,23
0,3,34
0,3,36
0,3,34
0,3,37
0,3,36
0,3,28
0,3,20
0,3,19
0,3,20
0,3,24
0,3,33
0,3,37
0,3,36
0,3,37
0,3,41
0,3,40
0,3,29
0,3,22
0,3,29
0,3,37
0,3,26
0,3,19
0,3,26
0,3,30
0,3,31
0,3,33
0,3,43
0,3,43
0,3,32
0,3,30
0,3,37
0,3,36
0,3,27
0,3,23
0,3,27
0,3,33
0,3,28
0,3,18
0,3,24
0,3,24
0,3,19
0,3,23
0,3,33
0,3,39
0,3,33
0,3,21
0,3,28
0,3,37
0,3,26
0,3,19
0,3,39
0,3,44
0,3,27
0,3,26
0,3,37
0,3,33
0,3,25
0,3,29
0,3,35
0,3,35
0,3,37
0,3,39
0,3,24
0,3,18
0,3,25
0,3,22
0,3,30
0,3,49
0,3,47
0,3,29
0,3,16
0,3,20
0,3,34
0,3,28
0,3,23
0,3,31
0,3,27
0,3,22
0,3,20
0,3,21
0,3,35
0,3,40
0,3,29
0,3,25
0,3,30
0,3,23
0,3,20
0,3,35
0,3,38
0,3,30
0,3,29
0,3,28
0,3,28
0,3,30
0,3,24
0,3,12
0,3,19
0,3,39
0,3,48
0,3,39
0,3,23
0,3,18
0,3,29
0,3,40
0,3,35
0,3,26
0,3,19
0,3,17
0,3,20
0,3,32
0,3,36
0,3,20
0,3,11
0,3,20
0,3,28
0,3,35
0,3,41
0,3,31
0,3,22
0,3,28
0,3,26
0,3,18
0,3,34
0,3,40
0,3,34
0,3,44
0,3,37
0,3,16
0,3,23
0,3,36
0,3,23
0,3,12
0,3,30
0,3,38
0,3,28
0,3,32
0,3,37
0,3,33
0,3,29
0,3,26
0,3,32
0,3,39
0,3,31
0,3,20
0,3,24
0,3,30
0,3,34
0,3,30
0,3,25
0,3,25
0,3,30
0,3,32
0,3,32
0,3,31
0,3,21
0,3,19
0,3,31
0,3,32
0,3,23
0,3,20
0,3,32
0,3,40
0,3,31
0,3,26
0,3,31
0,3,39
0,3,34
0,3,20
0,3,22
0,3,33
0,3,32
0,3,28
0,3,27
0,3,27
0,3,37
0,3,39
0,3,28
0,3,26
0,3,35
0,3,34
0,3,24
0,3,19
0,3,19
0,3,23
0,3,25
0,3,25
0,3,20
0,3,22
0,3,35
0,3,35
0,3,28
0,3,31
0,3,35
0,3,35
0,3,34
0,3,30
0,3,32
0,3,37
0,3,33
0,3,23
0,3,14
0,3,21
0,3,36
0,3,33
0,3,29
0,3,43
0,3,50
0,3,37
0,3,26
0,3,21
0,3,19
0,3,24
0,3,39
0,3,36
0,3,21
0,3,22
0,3,36
0,3,36
0,3,29
0,3,27
0,3,24
0,3,21
0,3,26
0,3,31
0,3,38
0,3,36
0,3,26
0,3,26
0,3,31
0,3,29
0,3,20
0,3,22
0,3,44
0,3,45
0,3,27
0,3,24
0,3,32
0,3,29
0,3,16
0,3,19
0,3,30
0,3,33
0,3,24
0,3,20
0,3,32
0,3,36
0,3,30
0,3,22
0,3,26
0,3,42
0,3,39
0,3,26
0,3,34
0,3,41
0,3,28
0,3,12
0,3,19
0,3,42
0,3,35
0,3,16
0,3,24
0,3,30
0,3,27
0,3,27
0,3,24
0,3,30
0,3,36
0,3,32
0,3,30
0,3,31
0,3,34
0,3,27
0,3,20
0,3,31
0,3,40
0,3,32
0,3,25
0,3,18
0,3,16
0,3,33
0,3,37
0,3,23
0,3,33
0,3,44
0,3,39
0,3,33
0,3,26
0,3,29
0,3,38
0,3,28
0,3,23
0,3,34
0,3,40
0,3,40
0,3,37
0,3,28
0,3,23
0,3,30
0,3,27
0,3,14
0,3,22
0,3,29
0,3,23
0,3,23
0,3,36
0,3,44
0,3,31
0,3,23
0,3,27
0,3,20
0,3,20
0,3,24
0,3,23
0,3,30
0,3,39
0,3,28
0,3,18
0,3,21
0,3,21
0,3,24
0,3,27
0,3,25
0,3,23
0,3,32
0,3,42
0,3,39
0,3,32
0,3,24
0,3,30
0,3,34
0,3,27
0,3,37
0,3,38
0,3,24
0,3,30
0,3,32
0,3,26
0,3,29
0,3,29
0,3,19
0,3,27
0,3,41
0,3,33
0,3,29
0,3,31
0,3,27
0,3,27
0,3,22
0,3,20
0,3,28
0,3,27
0,3,26
0,3,22
0,3,23
0,3,36
0,3,37
0,3,37
0,3,40
0,3,34
0,3,30
0,3,29
0,3,29
0,3,26
0,3,15
0,3,19
0,3,25
0,3,17
0,3,25
0,3,37
0,3,41
0,3,41
0,3,23
0,3,13
0,3,31
0,3,43
0,3,32
0,3,23
0,3,23
0,3,25
0,3,30
0,3,37
0,3,44
0,3,39
0,3,26
0,3,21
0,3,23
0,3,24
0,3,17
0,3,17
0,3,28
0,3,36
0,3,38
0,3,32
0,3,21
0,3,18
0,3,40
0,3,55
0,3,33
0,3,24
0,3,31
0,3,29
0,3,24
0,3,19
0,3,28
0,3,36
0,3,28
0,3,30
0,3,36
0,3,21
0,3,14
0,3,33
0,3,30
0,3,16
0,3,21
0,3,25
0,3,31
0,3,37
0,3,30
0,3,24
0,3,26
0,3,31
0,3,37
0,3,38
0,3,23
0,3,25
0,3,35
0,3,23
0,3,18
0,3,23
0,3,22
0,3,23
0,3,33
0,3,42
0,3,31
0,3,24
0,3,27
0,3,23
0,3,26
0,3,36
0,3,35
0,3,27
0,3,26
0,3,28
0,3,26
0,3,28
0,3,30
0,3,27
0,3,35
0,3,32
0,3,21
0,3,32
0,3,37
0,3,28
0,3,25
0,3,28
0,3,25
0,3,17
0,3,22
0,3,30
0,3,25
0,3,26
0,3,32
0,3,30
0,3,25
0,3,31
0,3,39
0,3,50
0,3,45
0,3,21
0,3,20
0,3,27
0,3,17
0,3,17
0,3,23
0,3,32
0,3,39
0,3,28
0,3,14
0,3,26
0,3,34
0,3,15
0,3,11
0,3,26
0,3,36
0,3,25
0,3,18
0,3,30
0,3,34
0,3,41
0,3,41
0,3,30
0,3,24
0,3,20
0,3,20
0,3,35
0,3,45
0,3,27
0,3,9
0,3,16
0,3,34
0,3,37
0,3,25
0,3,22
0,3,33
0,3,28
0,3,16
0,3,14
0,3,10
0,3,26
0,3,41
0,3,36
0,3,28
0,3,27
0,3,32
0,3,33
0,3,29
0,3,30
0,3,29
0,3,27
0,3,20
0,3,18
0,3,30
0,3,43
0,3,44
0,3,29
0,3,18
0,3,25
0,3,31
0,3,23
0,3,14
0,3,23
0,3,40
0,3,40
0,3,25
0,3,18
0,3,29
0,3,38
0,3,31
0,3,30
0,3,33
0,3,27
0,3,22
0,3,20
0,3,20
0,3,26
0,3,21
0,3,22
0,3,36
0,3,42
0,3,31
0,3,26
0,3,27
0,3,22
0,3,20
0,3,27
0,3,29
0,3,37
0,3,35
0,3,17
0,3,19
0,3,33
0,3,32
0,3,30
0,3,29
0,3,24
0,3,24
0,3,35
0,3,38
0,3,34
0,3,26
0,3,19
0,3,29
0,3,30
0,3,22
0,3,29
0,3,30
0,3,27
0,3,29
0,3,26
0,3,28
0,3,27
0,3,20
0,3,24
0,3,37
0,3,38
0,3,26
0,3,25
0,3,26
0,3,27
0,3,31
0,3,27
0,3,22
0,3,31
0,3,25
0,3,13
0,3,23
0,3,35
0,3,30
0,3,21
0,3,24
0,3,31
0,3,29
0,3,33
0,3,32
0,3,19
0,3,17
0,3,22
0,3,26
0,3,28
0,3,31
0,3,23
0,3,14
0,3,26
0,3,35
0,3,20
0,3,14
0,3,29
0,3,31
0,3,19
0,3,16
0,3,25
0,3,31
0,3,35
0,3,39
0,3,39
0,3,37
0,3,37
0,3,23
0,3,9
0,3,20
0,3,37
0,3,32
0,3,25
0,3,32
0,3,37
0,3,39
0,3,43
0,3,29
0,3,14
0,3,25
0,3,33
0,3,25
0,3,23
0,3,38
0,3,48
0,3,34
0,3,27
0,3,32
0,3,32
0,3,22
0,3,16
0,3,20
0,3,26
0,3,27
0,3,30
0,3,29
0,3,27
0,3,33
0,3,36
0,3,29
0,3,22
0,3,23
0,3,25
0,3,15
0,3,18
0,3,33
0,3,35
0,3,29
0,3,26
0,3,32
0,3,34
0,3,25
0,3,26
0,3,30
0,3,31
0,3,30
0,3,25
0,3,31
0,3,44
0,3,34
0,3,14
0,3,20
0,3,34
0,3,26
0,3,22
0,3,31
0,3,29
0,3,24
0,3,27
0,3,33
0,3,38
0,3,32
0,3,27
0,3,28
0,3,23
0,3,25
0,3,30
0,3,29
0,3,32
0,3,34
0,3,32
0,3,26
0,3,22
0,3,31
0,3,39
0,3,30
0,3,19
0,3,14
0,3,18
0,3,24
0,3,28
0,3,37
0,3,37
0,3,24
0,3,18
0,3,33
0,3,47
0,3,35
0,3,16
0,3,24
0,3,34
0,3,24
0,3,20
0,3,26
0,3,36
0,3,36
0,3,31
0,3,34
0,3,29
0,3,20
0,3,20
0,3,26
0,3,34
0,3,26
0,3,24
0,3,32
0,3,28
0,3,30
0,3,32
0,3,23
0,3,19
0,3,20
0,3,25
0,3,33
0,3,35
0,3,32
0,3,27
0,3,24
0,3,25
0,3,21
0,3,22
0,3,32
0,3,34
0,3,25
0,3,30
0,3,43
0,3,37
0,3,19
0,3,19
0,3,32
0,3,30
0,3,19
0,3,21
0,3,26
0,3,24
0,3,27
0,3,28
0,3,22
0,3,20
0,3,36
0,3,53
0,3,41
0,3,27
0,3,26
0,3,23
0,3,19
0,3,22
0,3,34
0,3,43
0,3,32
0,3,14
0,3,20
0,3,34
0,3,28
0,3,22
0,3,29
0,3,32
0,3,31
0,3,30
0,3,23
0,3,27
0,3,33
0,3,30
0,3,30
0,3,36
0,3,37
0,3,30
0,3,23
0,3,16
0,3,17
0,3,23
0,3,23
0,3,17
0,3,21
0,3,33
0,3,40
0,3,39
0,3,39
0,3,39
0,3,29
0,3,21
0,3,27
0,3,37
0,3,31
0,3,19
0,3,20
0,3,25
0,3,19
0,3,16
0,3,26
0,3,36
0,3,29
0,3,23
0,3,29
0,3,30
0,3,26
0,3,21
0,3,18
0,3,26
0,3,38
0,3,37
0,3,15
0,3,4
0,3,19
0,3,35
0,3,45
0,3,29
0,3,15
0,3,31
0,3,35
0,3,27
0,3,27
0,3,30
0,3,20
0,3,9
0,3,19
0,3,31
0,3,33
0,3,35
0,3,26
0,3,19
0,3,24
0,3,33
0,3,36
0,3,28
0,3,25
0,3,26
0,3,19
0,3,28
0,3,39
0,3,24
0,3,17
0,3,33
0,3,40
0,3,26
0,3,19
0,3,26
0,3,30
0,3,39
0,3,39
0,3,19
0,3,17
0,3,28
0,3,26
0,3,27
0,3,35
0,3,34
0,3,33
0,3,29
0,3,14
0,3,10
0,3,32
0,3,41
0,3,18
0,3,18
0,3,38
0,3,39
0,3,32
0,3,22
0,3,17
0,3,21
0,3,20
0,3,24
0,3,29
0,3,30
0,3,29
0,3,25
0,3,28
0,3,42
0,3,46
0,3,29
0,3,23
0,3,38
0,3,35
0,3,20
0,3,18
0,3,27
0,3,30
0,3,23
0,3,16
0,3,11
0,3,12
0,3,29
0,3,40
0,3,38
0,3,35
0,3,35
0,3,26
0,3,19
0,3,22
0,3,24
0,3,22
0,3,32
0,3,35
0,3,24
0,3,31
0,3,49
0,3,44
0,3,34
0,3,29
0,3,20
0,3,27
0,3,38
0,3,28
0,3,19
0,3,23
0,3,34
0,3,32
0,3,24
0,3,22
0,3,25
0,3,24
0,3,19
0,3,18
0,3,17
0,3,23
0,3,33
0,3,28
0,3,17
0,3,19
0,3,28
0,3,28
0,3,29
0,3,32
0,3,29
0,3,24
0,3,27
0,3,31
0,3,29
0,3,29
0,3,32
0,3,39
0,3,33
0,3,17
0,3,23
0,3,30
0,3,24
0,3,26
0,3,28
0,3,29
0,3,24
0,3,14
0,3,17
0,3,21
0,3,21
0,3,17
0,3,22
0,3,35
0,3,30
0,3,27
0,3,33
0,3,24
0,3,19
0,3,27
0,3,33
0,3,35
0,3,44
0,3,53
0,3,34
0,3,18
0,3,25
0,3,21
0,3,20
0,3,36
0,3,40
0,3,27
0,3,23
0,3,34
0,3,39
0,3,33
0,3,29
0,3,24
0,3,17
0,3,20
0,3,21
0,3,19
0,3,26
0,3,31
0,3,32
0,3,30
0,3,29
0,3,27
0,3,30
0,3,37
0,3,35
0,3,27
0,3,23
0,3,26
0,3,33
0,3,33
0,3,32
0,3,22
0,3,19
0,3,32
0,3,34
0,3,28
0,3,27
0,3,29
0,3,33
0,3,30
0,3,18
0,3,20
0,3,31
0,3,30
0,3,27
0,3,29
0,3,30
0,3,35
0,3,34
0,3,18
0,3,22
0,3,41
0,3,34
0,3,15
0,3,18
0,3,30
0,3,29
0,3,23
0,3,23
0,3,27
0,3,36
0,3,34
0,3,30
0,3,30
0,3,24
0,3,18
0,3,19
0,3,20
0,3,30
0,3,40
0,3,32
0,3,17
0,3,21
0,3,31
0,3,25
0,3,20
0,3,25
0,3,27
0,3,26
0,3,30
0,3,28
0,3,25
0,3,20
0,3,13
0,3,20
0,3,32
0,3,30
0,3,18
0,3,23
0,3,42
0,3,39
0,3,24
0,3,24
0,3,33
0,3,27
0,3,14
0,3,21
0,3,32
0,3,29
0,3,29
0,3,27
0,3,20
0,3,19
0,3,33
0,3,41
0,3,37
0,3,40
0,3,37
0,3,25
0,3,13
0,3,13
0,3,28
0,3,29
0,3,20
0,3,23
0,3,20
0,3,20
0,3,30
0,3,29
0,3,28
0,3,28
0,3,26
0,3,29
0,3,23
0,3,21
0,3,33
0,3,42
0,3,33
0,3,24
0,3,32
0,3,28
0,3,17
0,3,30
0,3,33
0,3,14
0,3,19
0,3,37
0,3,37
0,3,30
0,3,23
0,3,27
0,3,30
0,3,19
0,3,22
0,3,30
0,3,29
0,3,29
0,3,26
0,3,21
0,3,18
0,3,20
0,3,29
0,3,35
0,3,31
0,3,23
0,3,19
0,3,26
0,3,30
0,3,35
0,3,33
0,3,25
0,3,24
0,3,25
0,3,30
0,3,35
0,3,34
0,3,31
0,3,24
0,3,23
0,3,24
0,3,27
0,3,36
0,3,24
0,3,19
0,3,31
0,3,24
0,3,10
0,3,11
0,3,22
0,3,37
0,3,44
0,3,24
0,3,14
0,3,37
0,3,40
0,3,17
0,3,10
0,3,27
0,3,32
0,3,16
0,3,19
0,3,23
0,3,19
0,3,19
0,3,24
0,3,28
0,3,30
0,3,33
0,3,25
0,3,20
0,3,24
0,3,24
0,3,28
0,3,24
0,3,16
0,3,29
0,3,43
0,3,33
0,3,27
0,3,32
0,3,32
0,3,30
0,3,28
0,3,24
0,3,28
0,3,34
0,3,30
0,3,20
0,3,25
0,3,31
0,3,29
0,3,23
0,3,20
0,3,32
0,3,39
0,3,22
0,3,19
0,3,33
0,3,33
0,3,19
0,3,12
0,3,12
0,3,24
0,3,29
0,3,29
0,3,34
0,3,26
0,3,19
0,3,29
0,3,31
0,3,24
0,3,29
0,3,43
0,3,30
0,3,11
0,3,21
0,3,35
0,3,39
0,3,31
0,3,20
0,3,20
0,3,23
0,3,28
0,3,30
0,3,29
0,3,30
0,3,28
0,3,30
0,3,31
0,3,18
0,3,13
0,3,29
0,3,42
0,3,40
0,3,33
0,3,19
0,3,16
0,3,24
0,3,25
0,3,27
0,3,39
0,3,36
0,3,22
0,3,21
0,3,27
0,3,34
0,3,36
0,3,26
0,3,26
0,3,36
0,3,35
0,3,25
0,3,22
0,3,20
0,3,18
0,3,30
0,3,37
0,3,26
0,3,21
0,3,24
0,3,24
0,3,21
0,3,24
0,3,27
0,3,17
0,3,22
0,3,33
0,3,26
0,3,31
0,3,37
0,3,28
0,3,29
0,3,36
0,3,32
0,3,22
0,3,18
0,3,26
0,3,38
0,3,41
0,3,35
0,3,32
0,3,23
0,3,10
0,3,10
0,3,23
0,3,38
0,3,34
0,3,28
0,3,39
0,3,34
0,3,21
0,3,21
0,3,22
0,3,19
0,3,21
0,3,36
0,3,37
0,3,18
0,3,27
0,3,41
0,3,30
0,3,23
0,3,22
0,3,17
0,3,26
0,3,35
0,3,25
0,3,18
0,3,29
0,3,31
0,3,23
0,3,28
0,3,30
0,3,24
0,3,25
0,3,37
0,3,40
0,3,24
0,3,20
0,3,27
0,3,23
0,3,21
0,3,22
0,3,12
0,3,11
0,3,29
0,3,36
0,3,21
0,3,23
0,3,35
0,3,34
0,3,32
0,3,32
0,3,32
0,3,27
0,3,18
0,3,16
0,3,22
0,3,29
0,3,36
0,3,34
0,3,25
0,3,26
0,3,29
0,3,25
0,3,25
0,3,34
0,3,39
0,3,32
0,3,28
0,3,20
0,3,11
0,3,18
0,3,27
0,3,24
0,3,12
0,3,16
0,3,32
0,3,32
0,3,28
0,3,32
0,3,36
0,3,34
0,3,19
0,3,17
0,3,34
0,3,42
0,3,35
0,3,25
0,3,20
0,3,24
0,3,21
0,3,11
0,3,16
0,3,32
0,3,39
0,3,32
0,3,28
0,3,27
0,3,23
0,3,26
0,3,29
0,3,26
0,3,17
0,3,19
0,3,27
0,3,30
0,3,34
0,3,33
0,3,20
0,3,23
0,3,42
0,3,39
0,3,32
0,3,31
0,3,21
0,3,26
0,3,39
0,3,25
0,3,11
0,3,16
0,3,23
0,3,34
0,3,33
0,3,28
0,3,21
0,3,13
0,3,26
0,3,39
0,3,35
0,3,31
0,3,29
0,3,28
0,3,20
0,3,16
0,3,27
0,3,33
0,3,34
0,3,31
0,3,26
0,3,27
0,3,21
0,3,25
0,3,31
0,3,21
0,3,20
0,3,23
0,3,20
0,3,34
0,3,37
0,3,28
0,3,32
0,3,30
0,3,26
0,3,27
0,3,22
0,3,25
0,3,30
0,3,34
0,3,34
0,3,29
0,3,26
0,3,27
0,3,31
0,3,36
0,3,32
0,3,26
0,3,20
0,3,17
0,3,17
0,3,27
0,3,39
0,3,38
0,3,26
0,3,14
0,3,16
0,3,29
0,3,36
0,3,30
0,3,30
0,3,39
0,3,42
0,3,32
0,3,21
0,3,21
0,3,17
0,3,14
0,3,29
0,3,41
0,3,28
0,3,16
0,3,22
0,3,25
0,3,32
0,3,38
0,3,11
0,3,1
0,3,33
0,3,36
0,3,11
0,3,19
0,3,36
0,3,33
0,3,25
0,3,24
0,3,29
0,3,26
0,3,24
0,3,28
0,3,30
0,3,32
0,3,33
0,3,30
0,3,26
0,3,30
0,3,34
0,3,31
0,3,29
0,3,30
0,3,30
0,3,25
0,3,20
0,3,23
0,3,28
0,3,33
0,3,33
0,3,25
0,3,21
0,3,26
0,3,27
0,3,23
0,3,21
0,3,20
0,3,25
0,3,31
0,3,29
0,3,29
0,3,21
0,3,18
0,3,22
0,3,30
0,3,38
0,3,28
0,3,14
0,3,18
0,3,27
0,3,27
0,3,24
0,3,27
0,3,31
0,3,27
0,3,23
0,3,27
0,3,31
0,3,26
0,3,25
0,3,32
0,3,35
0,3,29
0,3,19
0,3,20
0,3,34
0,3,35
0,3,24
0,3,27
0,3,36
0,3,27
0,3,10
0,3,20
0,3,36
0,3,27
0,3,26
0,3,35
0,3,31
0,3,19
0,3,11
0,3,21
0,3,31
0,3,38
0,3,43
0,3,22
0,3,10
0,3,34
0,3,38
0,3,18
0,3,17
0,3,25
0,3,32
0,3,30
0,3,28
0,3,34
0,3,23
0,3,13
0,3,24
0,3,30
0,3,35
0,3,40
0,3,23
0,3,10
0,3,23
0,3,30
0,3,25
0,3,28
0,3,31
0,3,27
0,3,32
0,3,38
0,3,38
0,3,30
0,3,19
0,3,18
0,3,26
0,3,25
0,3,26
0,3,36
0,3,32
0,3,16
0,3,11
0,3,22
0,3,34
0,3,32
0,3,35
0,3,33
0,3,20
0,3,28
0,3,35
0,3,26
0,3,23
0,3,28
0,3,37
0,3,31
0,3,22
0,3,30
0,3,26
0,3,17
0,3,30
0,3,33
0,3,19
0,3,23
0,3,37
0,3,36
0,3,28
0,3,29
0,3,33
0,3,33
0,3,31
0,3,27
0,3,23
0,3,21
0,3,27
0,3,26
0,3,11
0,3,15
0,3,32
0,3,33
0,3,32
0,3,35
0,3,27
0,3,16
0,3,26
0,3,36
0,3,24
0,3,23
0,3,24
0,3,17
0,3,18
0,3,26
0,3,31
0,3,29
0,3,21
0,3,21
0,3,29
0,3,32
0,3,29
0,3,22
0,3,21
0,3,23
0,3,21
0,3,27
0,3,29
0,3,23
0,3,37
0,3,35
0,3,14
0,3,20
0,3,26
0,3,20
0,3,22
0,3,29
0,3,30
0,3,30
0,3,26
0,3,27
0,3,35
0,3,31
0,3,24
0,3,19
0,3,19
0,3,31
0,3,27
0,3,20
0,3,27
0,3,26
0,3,19
0,3,27
0,3,30
0,3,19
0,3,19
0,3,28
0,3,31
0,3,24
0,3,19
0,3,24
0,3,26
0,3,29
0,3,30
0,3,30
0,3,38
0,3,35
0,3,26
0,3,36
0,3,42
0,3,25
0,3,20
0,3,29
0,3,30
0,3,26
0,3,30
0,3,29
0,3,23
0,3,21
0,3,26
0,3,33
0,3,35
0,3,29
0,3,21
0,3,21
0,3,27
0,3,26
0,3,24
0,3,28
0,3,35
0,3,34
0,3,28
0,3,25
0,3,27
0,3,33
0,3,33
0,3,26
0,3,14
0,3,19
0,3,33
0,3,26
0,3,22
0,3,33
0,3,33
0,3,35
0,3,34
0,3,29
0,3,26
0,3,21
0,3,23
0,3,22
0,3,20
0,3,22
0,3,24
0,3,29
0,3,33
0,3,26
0,3,15
0,3,15
0,3,28
0,3,33
0,3,26
0,3,24
0,3,23
0,3,28
0,3,36
0,3,35
0,3,30
0,3,28
0,3,22
0,3,22
0,3,27
0,3,22
0,3,26
0,3,23
0,3,19
0,3,34
0,3,37
0,3,25
0,3,18
0,3,24
0,3,36
0,3,34
0,3,21
0,3,20
0,3,24
0,3,31
0,3,36
0,3,26
0,3,18
0,3,19
0,3,17
0,3,25
0,3,29
0,3,17
0,3,15
0,3,27
0,3,36
0,3,29
0,3,23
0,3,21
0,3,16
0,3,22
0,3,31
0,3,34
0,3,31
0,3,19
0,3,17
0,3,28
0,3,26
0,3,23
0,3,28
0,3,30
0,3,30
0,3,22
0,3,22
0,3,36
0,3,34
0,3,22
0,3,19
0,3,20
0,3,15
0,3,14
0,3,26
0,3,37
0,3,33
0,3,23
0,3,19
0,3,25
0,3,25
0,3,25
0,3,31
0,3,27
0,3,20
0,3,20
0,3,32
0,3,41
0,3,34
0,3,15
0,3,17
0,3,34
0,3,33
0,3,27
0,3,35
0,3,41
0,3,23
0,3,10
0,3,20
0,3,26
0,3,29
0,3,32
0,3,34
0,3,31
0,3,26
0,3,26
0,3,27
0,3,33
0,3,38
0,3,24
0,3,15
0,3,34
0,3,47
0,3,29
0,3,11
0,3,17
0,3,22
0,3,21
0,3,25
0,3,24
0,3,23
